Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Retinolekvivalenter();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Mesost fett ca 30% berik;66;1923;460;11,0;29,0;39,0;0,0;0,7;2,0;19,0;0,0;0,0;39,0;0,0;0;19,4;3,0;0,9;3,0;8,5;3,4;0,1;6,9;0,3;6,4;0,5;0,0;0,5;0,0;0,0;0,2;;0,0;0,0;0,0;0,9;96,0;311;298;158;0,10;0,60;;0,19;1,20;0;0,9;3,5;0,11;1,10;450;21;;0;0,30;350;1090;56;290;5,0;0,60;
Mesost lätt fett 9% berik;67;1438;344;9,0;9,0;56,0;0,0;1,4;6,0;20,0;0,0;0,0;57,0;5,0;0;5,9;0,9;0,3;0,9;2,6;1,0;0,0;2,1;0,1;1,9;0,1;0,0;0,1;0,0;0,0;0,1;;0,0;0,0;0,0;0,3;29,0;82;75;41;0,06;0,20;3;0,10;1,40;0;0,6;2,7;0,16;0,40;430;5;;0;5,00;300;1500;34;540;2,5;0,20;
Messmör fett 5% berik;68;1086;260;7,0;5,0;46,0;0,0;1,1;5,0;37,0;0,0;0,0;48,0;6,0;0;3,3;0,5;0,2;0,5;1,5;0,6;0,0;1,2;0,1;1,1;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,2;17,6;44;42;23;0,04;0,12;3;0,10;1,20;0;0,5;2,1;0,21;0,40;320;12;;0;5,00;280;1240;28;445;2,2;0,20;
Messmör fett 2% berik;69;1026;245;7,0;2,0;49,0;0,0;1,4;5,0;37,0;0,0;0,0;49,0;4,5;0;1,3;0,2;0,1;0,2;0,6;0,2;0,0;0,5;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;6,4;18;17;9;0,01;0,05;3;0,10;1,30;0;0,5;2,1;0,21;0,40;370;12;;0;5,00;280;1400;30;570;2,2;0,20;
Keso färskost fett 4% ;70;388;93;12,0;4,0;2,1;0,0;0,9;1,5;80,4;0,0;0,1;1,7;0,0;0;2,6;0,4;0,1;0,4;1,2;0,5;0,0;0,9;0,0;0,9;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;13,0;35;33;19;0,03;0,09;;0,04;0,15;0;0,1;2,9;0,03;0,60;130;12;6;0;0,10;60;70;6;340;4,0;0,40;
Keso färskost ananas apelsin fett 3%;71;440;105;10,3;2,8;9,1;1,0;0,7;1,0;75,9;0,0;0,6;8,2;6,9;0;1,8;0,2;0,1;0,3;0,8;0,3;0,0;0,7;0,0;0,6;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,2;11,8;31;29;18;0,10;0,07;0;0,02;0,15;0;0,1;2,5;0,04;0,26;106;21;5;0;0,05;34;77;4;282;5,5;0,27;
Keso färskost chili pesto lök feta fett 3,5-5% ;72;393;94;12,3;4,2;0,9;1,7;1,2;1,6;79,3;0,0;0,1;1,5;0,1;0;2,7;0,4;0,1;0,4;1,2;0,4;0,0;1,1;0,1;1,0;0,2;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,2;15,2;56;48;84;0,10;0,31;6;0,02;0,19;0;0,2;3,0;0,06;0,25;129;23;6;0;0,13;43;92;6;491;5,8;0,43;
Färskost på filmjölk fett ca 8%;73;496;119;8,0;8,4;2,9;0,0;0,1;0,7;80,0;0,0;0,0;2,8;0,0;0;5,6;1,0;0,3;0,9;2,4;0,9;0,0;1,9;0,1;1,7;0,2;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,2;27,0;41;39;20;0,06;0,17;;0,02;0,14;0;0,1;2,0;0,03;0,60;145;12;;0;0,10;68;134;5;28;4,0;0,40;
Färskost på filmjölk o gräddfil fett ca 14% ;74;743;178;9,7;14,2;3,1;0,0;0,1;0,7;72,3;0,0;1,0;3,1;0,0;0;9,5;1,6;0,5;1,5;4,1;1,5;0,0;3,3;0,2;2,9;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,3;32,0;86;83;41;0,07;0,23;;0,04;0,15;0;0,1;2,3;0,03;0,50;160;11;;0;0,10;96;140;10;35;4,0;0,40;
Kvarg färskost fett 1% Kesella lätt;75;314;75;12,7;1,0;3,6;0,0;0,1;0,7;82,0;0,0;0,0;2,9;0,0;0;0,7;0,1;0,0;0,1;0,3;0,1;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;4,6;9;8;5;0,01;0,02;;0,04;0,15;0;0,1;3,0;0,04;0,70;180;12;12;0;0,10;107;151;11;38;4,0;0,40;
Kvarg färskost fett 10% Kesella;76;635;152;12,7;10,0;2,9;0,0;0,1;0,7;73,7;0,0;0,1;2,9;0,0;0;6,6;1,0;0,3;1,0;2,9;1,2;0,0;2,3;0,1;2,2;0,2;0,0;0,2;0,0;0,0;0,1;;0,0;0,0;0,0;0,3;32,0;12;8;46;0,01;0,02;;0,04;0,15;0;0,1;3,0;0,04;0,70;180;11;;0;0,10;107;151;11;38;4,0;0,40;
Ost hårdost fett 10% ;77;946;226;32,4;10,0;1,5;0,0;1,1;4,8;51,3;0,0;0,0;0,0;0,0;0;6,6;1,0;0,3;1,0;2,9;1,2;0,0;2,3;0,1;2,2;0,2;0,0;0,2;0,0;0,0;0,1;;0,0;0,0;0,0;0,3;29,0;91;83;46;0,07;0,23;1;0,03;0,38;0;0,1;7,6;0,06;1,90;660;43;21;0;0,20;970;110;40;430;11,8;4,00;
Ost hårdost fett 23% ;78;1361;325;29,2;23,0;0,8;0,0;1,2;4,0;43,0;0,0;0,1;0,1;0,0;0;15,1;2,4;0,7;2,4;6,7;2,7;0,0;5,4;0,2;5,0;0,4;0,0;0,4;0,0;0,0;0,2;;0,0;0,0;0,0;0,7;65,0;201;192;106;0,16;0,54;2;0,03;0,32;0;0,1;6,9;0,05;1,60;550;36;17;0;0,19;810;91;33;470;10,4;3,50;
Ost hårdost fett 26% ;79;1409;337;24,9;26,0;1,4;0,0;1,0;4,1;43,6;0,0;0,0;0,0;0,0;0;17,1;2,7;0,8;2,7;7,5;3,0;0,1;6,1;0,3;5,6;0,4;0,0;0,4;0,0;0,0;0,2;;0,0;0,0;0,0;0,8;73,0;227;217;120;0,18;0,61;3;0,03;0,32;0;0,1;5,5;0,05;1,60;530;34;18;0;0,14;770;92;32;390;9,1;3,00;
Ost hårdost fett 38% ;80;1763;421;19,8;38,0;1,2;0,0;1,2;3,5;37,5;0,0;0,0;0,0;0,0;0;24,9;3,9;1,2;3,9;11,0;4,4;0,1;8,9;0,4;8,2;0,6;0,0;0,6;0,0;0,0;0,3;;0,0;0,0;0,0;1,1;106,0;332;317;175;0,26;0,88;4;0,02;0,28;0;0,0;4,7;0,04;1,40;430;28;15;0;0,15;620;79;25;470;7,2;2,40;
Camembert vitmögelost  fett 23%;81;1198;286;21,5;22,5;0,0;0,0;1,5;3,3;52,7;0,0;0,0;0,1;0,0;0;14,6;1,9;0,7;2,4;6,5;2,5;0,0;5,8;0,3;5,1;0,6;;0,4;0,0;;0,1;;0,0;0,0;0,0;;72,0;223;215;99;0,16;0,50;;0,04;0,45;0;1,8;6,8;0,25;1,10;370;62;;0;0,20;720;187;20;605;5,5;2,40;
Ädelost grönmögelost fett 30% ;82;1520;363;21,5;30,5;1,5;0,0;2,5;5,5;41,0;0,0;0,0;0,1;0,0;0;19,8;2,6;1,0;3,2;8,7;3,4;0,1;7,9;0,5;6,9;0,8;;0,6;0,0;;0,2;;0,0;0,0;0,0;;96,0;253;235;109;0,21;0,70;;0,09;0,54;0;1,3;6,3;0,28;1,20;310;36;45;0;0,20;365;100;24;1004;2,0;4,10;
Mjukost smältost fett 8% ;83;612;146;18,1;8,0;0,5;0,0;2,2;4,4;69,0;0,0;0,0;0,2;0,0;0;5,2;0,7;0,3;0,8;2,3;0,9;0,0;2,1;0,1;1,8;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;;30,0;53;51;24;0,05;0,20;;0,07;0,23;0;0,1;4,3;0,06;0,40;740;7;;0;0,30;510;96;26;860;1,0;2,60;
Mjukost smältost fett 10% ;84;670;160;17,1;10,1;0,3;0,0;2,5;5,0;67,5;0,0;0,0;0,2;0,0;0;6,6;0,9;0,3;1,1;2,9;1,1;0,0;2,6;0,2;2,3;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;;50,0;81;78;36;0,07;0,20;;0,07;0,23;0;0,1;4,1;0,06;0,40;930;7;;0;0,30;450;46;26;1000;1,0;2,60;
Mjukost smältost fett 20% ;85;1059;253;16,9;20,8;0,1;0,0;2,5;4,9;57,3;0,0;0,0;0,2;0,0;0;13,5;1,8;0,7;2,2;6,0;2,3;0,0;5,4;0,3;4,7;0,5;;0,4;0,0;;0,1;;0,0;0,0;0,0;;55,0;167;161;75;0,14;0,50;;0,09;0,43;0;0,1;4,0;0,25;0,40;800;7;;0;0,20;630;100;26;1000;1,0;2,60;
Mjukost smältost fett ca 16% ;86;871;208;16,0;15,5;1,5;0,0;2,3;5,0;62,0;0,0;0,0;0,2;0,0;0;10,1;1,3;0,5;1,6;4,4;1,7;0,0;4,0;0,2;3,5;0,4;;0,3;0,0;;0,1;;0,0;0,0;0,0;;55,0;125;120;56;0,10;0,35;;0,08;0,33;0;0,1;3,8;0,16;0,20;770;7;24;0;0,20;570;98;26;930;1,0;2,60;
Mjukost smältost fett 4% ;87;488;117;18,0;4,0;2,0;0,0;2,5;4,4;71,6;0,0;0,0;0,2;0,0;0;2,6;0,3;0,1;0,4;1,2;0,5;0,0;1,0;0,1;0,9;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;;10,0;24;23;11;0,02;0,07;;0,07;0,23;0;0,1;4,3;0,06;0,40;741;7;;0;0,30;513;100;25;1000;1,0;2,60;
Margarinost fett 16%;88;1136;272;30,0;16,0;2,0;0,0;1,3;4,0;48,0;0,0;0,0;0,0;0,0;0;7,0;0,6;1,6;0,7;3,8;0,7;0,1;5,0;0,0;5,0;4,0;;3,2;0,0;;0,3;;0,0;0,0;0,0;;17,0;10;10;5;0,00;3,50;;0,03;0,35;0;0,1;7,1;0,05;1,50;600;10;;0;0,20;900;110;39;500;10,0;3,70;
Margarinost fett 30%;89;1544;369;24,0;30,0;1,5;0,0;1,3;3,5;41,0;0,0;0,0;0,0;0,0;0;14,0;1,1;2,9;1,2;7,1;1,2;0,1;9,0;0,0;9,4;7,0;;5,9;0,0;;0,5;;0,0;0,0;0,0;;14,0;10;10;5;0,00;6,60;;0,03;0,25;0;0,1;5,7;0,05;1,50;500;10;;0;0,20;700;80;30;500;10,0;3,40;
Ost hårdost fett 5% ;90;787;188;33,9;5,0;1,5;0,0;1,1;5,1;54,5;0,0;0,0;0,0;0,0;0;3,3;0,6;0,2;0,5;1,4;0,5;0,0;1,2;0,1;1,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;;15,0;44;42;23;0,04;0,10;;0,03;0,40;0;0,1;8,0;0,06;2,10;700;46;;0;0,20;1030;115;42;430;12,4;4,00;
Ost hårdost fett 7% ;91;851;203;33,3;7,0;1,5;0,0;1,1;5,0;53,2;0,0;0,0;0,0;0,0;0;4,7;0,8;0,3;0,8;2,0;0,8;0,0;1,6;0,1;1,4;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;;21,0;61;58;32;0,05;0,20;;0,03;0,39;0;0,1;7,9;0,06;2,00;684;45;;0;0,20;1006;112;41;430;12,2;4,00;
Brieost vitmögelost fett 34%;92;1582;378;17,0;34,0;2,1;0,0;1,1;3,2;43,8;0,0;0,1;0,0;0,0;0;21,4;2,3;1,0;3,6;10,0;3,0;0,1;9,0;0,7;7,7;1,4;;0,9;0,1;;0,2;0,0;0,0;0,0;0,0;1,3;108,0;361;353;96;0,63;1,60;2;0,03;0,39;0;0,6;4,5;0,16;1,00;300;40;10;0;0,26;466;80;14;445;7,8;2,00;
Ädelost grönmögelost lätt fett 17% ;93;1318;315;31,4;20,8;0,9;0,0;3,2;6,0;41,0;0,0;0,8;0,0;0,0;0;13,1;1,2;0,6;2,2;6,1;1,8;0,0;5,5;0,4;4,7;0,9;;0,5;0,0;;0,1;;0,0;0,0;0,0;0,8;60,0;193;191;31;0,63;0,39;1;0,03;0,55;0;0,7;8,1;0,26;2,25;571;48;1;0;0,12;829;114;29;1287;0,2;4,80;
Fetaost fett 16%;94;895;214;17,0;16,0;0,8;0,0;2,8;5,2;61,0;0,0;0,0;1,0;0,0;0;10,4;1,4;0,5;1,7;4,6;1,8;0,0;4,1;0,2;3,6;0,4;;0,3;0,0;;0,1;;0,0;0,0;0,0;;89,0;130;125;60;0,11;0,40;;0,08;0,30;0;0,1;4,1;0,06;1,30;360;18;;0;0,60;620;62;19;1100;3,0;2,90;
Ost hårdost fett 17% ;95;1170;280;30,3;17,0;1,5;0,0;1,1;4,4;46,8;0,0;0,0;0,0;0,0;0;11,2;1,8;0,5;1,8;4,9;2,0;0,0;4,0;0,2;3,7;0,3;0,0;0,3;0,0;0,0;0,1;;0,0;0,0;0,0;0,5;48,0;149;142;78;0,12;0,40;2;0,03;0,34;0;0,1;7,1;0,05;1,80;600;39;19;0;0,20;880;99;36;430;11,1;3,70;
Ost hårdost fett 28% ;96;1521;363;27,1;28,0;1,4;0,0;1,1;3,7;39,8;0,0;0,0;0,0;0,0;0;18,4;2,9;0,9;2,9;8,1;3,2;0,1;6,5;0,3;6,0;0,4;0,0;0,4;0,0;0,0;0,2;;0,0;0,0;0,0;0,8;79,0;245;234;129;0,19;0,65;3;0,02;0,29;0;0,0;6,4;0,04;1,50;510;33;16;0;0,14;750;84;31;430;9,9;3,30;
Ost hårdost fett 31% ;97;1616;386;26,2;31,0;1,4;0,0;1,1;3,5;37,9;0,0;0,0;0,0;0,0;0;20,3;3,2;1,0;3,2;9,0;3,6;0,1;7,2;0,3;6,7;0,5;0,0;0,5;0,0;0,0;0,2;;0,0;0,0;0,0;0,9;87,0;271;259;143;0,21;0,72;3;0,02;0,28;0;0,0;6,2;0,04;1,40;490;32;15;0;0,11;710;80;29;430;9,6;3,20;
Brieost vitmögelost fett 28%;98;1381;330;19,8;28,0;0,5;0,0;1,4;2,7;49,0;0,0;0,0;0,1;0,0;0;18,2;2,4;0,9;2,9;8,0;3,1;0,1;7,2;0,4;6,3;0,7;;0,5;0,0;;0,2;;0,0;0,0;0,0;;90,0;275;265;122;0,19;0,60;;0,05;0,34;0;0,4;5,0;0,24;1,70;380;65;;0;0,20;600;100;20;556;5,5;2,40;
Fetaost fett 25% ;99;1242;297;17,5;24,7;1,8;0,0;2,8;5,2;50,8;0,0;0,0;0,5;0,0;0;16,2;3,1;0,6;2,3;5,7;3,2;0,0;6,0;0,5;5,5;1,1;;0,6;0,0;;0,5;;0,0;0,0;0,0;;89,0;294;285;109;0,17;0,65;;0,04;0,21;0;0,8;4,9;0,23;1,30;360;18;;0;0,50;620;62;19;1116;3,0;2,90;
Halloumiost fett 22% ej stekt ;100;1192;285;19,5;22,1;2,5;0,0;2,5;7,4;48,5;0,0;0,0;1,3;0,1;0;13,0;1,9;0,8;2,1;5,8;1,6;0,0;6,6;0,4;5,7;1,1;;0,8;0,0;;0,1;;0,0;0,0;0,0;1,1;62,8;230;227;36;0,21;0,42;1;0,02;0,21;0;0,0;4,6;0,04;0,88;397;11;50;0;0,46;348;100;48;1000;15,7;3,00;
Färskost fett 33% typ Cantadou;101;1435;343;10,2;33,0;2,4;0,0;1,4;1,4;53,0;0,0;0,0;2,1;0,0;0;21,4;2,8;1,1;3,5;9,5;3,7;0,1;8,5;0,5;7,4;0,9;;0,6;0,0;;0,2;;0,0;0,0;0,0;;110,0;312;300;139;0,33;0,70;;0,04;0,20;0;0,1;2,5;0,06;0,20;160;13;;0;0,30;200;119;6;570;5,5;0,50;
Grönmögelost fett 43 % Blå Castello;102;1797;429;9,6;43,0;2,5;0,0;1,2;1,6;43,3;0,0;0,0;2,1;0,0;0;27,9;3,7;1,4;4,5;12,3;4,8;0,1;11,1;0,7;9,7;1,1;;0,8;0,0;;0,2;;0,0;0,0;0,0;;110,0;364;350;162;0,36;0,85;;0,04;0,20;0;0,1;2,3;0,06;0,20;140;13;;0;0,30;230;119;6;472;5,5;0,50;
Parmesanost hårdost riven fett 30% ;103;1880;449;41,5;30,0;3,8;0,0;2,5;7,0;17,7;0,0;0,0;3,7;0,0;0;19,5;2,6;1,0;3,2;8,6;3,3;0,1;7,7;0,5;6,8;0,8;;0,6;0,0;;0,2;;0,0;0,0;0,0;;79,0;244;235;107;0,21;0,69;;0,04;0,39;0;0,3;10,0;0,10;1,60;810;8;;0;1,00;1380;107;51;998;3,0;3,20;
Färskost fett 35% Boursin;104;1423;340;4,0;35,0;3,5;0,0;0,7;0,8;56,7;0,0;0,0;0,4;0,0;0;22,7;3,0;1,1;3,7;10,0;3,9;0,1;9,0;0,5;7,9;0,9;;0,7;0,0;;0,2;;0,0;0,0;0,0;;120,0;269;262;80;0,25;0,80;;0,02;0,14;0;0,1;1,0;0,03;0,60;145;13;;0;0,10;68;40;5;260;5,5;0,40;
Camembert vitmögelost lätt fett 11%;105;774;185;21,4;11,0;0,2;0,0;1,5;3,3;64,1;0,0;0,0;0,1;0,0;0;7,1;0,9;0,4;1,2;3,2;1,2;0,0;2,8;0,2;2,5;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;;35,0;89;86;40;0,12;0,27;;0,04;0,45;0;1,8;6,8;0,25;1,10;370;62;;0;0,20;187;720;20;605;3,0;2,40;
Mjukost smältost fett ca 22% typ Den skrattande kon;106;1144;273;10,3;22,4;8,2;0,0;2,2;3,7;55,3;0,0;0,0;5,4;0,0;0;15,1;2,3;0,7;2,4;6,4;2,3;0,0;4,9;0,4;4,2;1,0;;0,5;0,1;;0,2;0,1;0,0;0,0;0,0;1,6;61,4;304;299;67;0,12;0,67;1;0,05;0,28;0;0,2;2,6;0,06;0,28;710;19;11;0;0,13;291;255;19;884;39,0;1,23;
Färskost fett 27% typ Philadelphia;107;1155;276;6,1;27,3;2,4;0,0;0,7;1,1;63,1;0,0;0,0;2,7;0,0;0;18,0;3,4;0,9;2,8;7,2;2,6;0,0;6,4;0,5;5,5;1,2;;0,6;0,0;;0,2;0,0;0,0;0,0;0,0;2,1;84,9;285;284;19;0,10;0,65;4;0,03;0,17;0;0,1;1,5;0,04;0,22;95;15;7;0;0,12;88;71;7;268;2,9;0,65;
Färskost lätt fett 15% typ Philadelphia;108;782;187;7,8;16,0;3,4;0,0;0,4;0,7;72,1;0,0;0,1;1,6;0,0;0;10,6;2,0;0,5;1,7;4,3;1,5;0,0;3,8;0,3;3,3;0,7;;0,4;0,0;;0,1;;0,0;0,0;0,0;;50,3;169;168;11;0,10;0,39;;0,02;0,10;0;0,0;1,9;0,02;0,13;57;18;;0;0,07;52;42;4;159;4,0;0,38;
Färskost extra light fett 5% typ Philadelphia;109;484;116;12,3;5,3;4,7;0,0;0,9;1,5;76,2;0,0;0,0;2,8;0,1;0;3,4;0,4;0,2;0,5;1,6;0,5;0,0;1,3;0,1;1,1;0,2;;0,2;0,0;;0,0;0,0;0,0;0,0;0,0;0,3;27,5;56;55;18;0,10;0,14;0;0,03;0,25;0;0,1;3,0;0,04;0,35;132;24;19;0;0,09;57;188;8;342;6,2;0,55;
Camembert vitmögelost friterad;110;1307;312;18,4;21,7;11,1;0,5;1,1;2,5;45,7;0,0;0,2;0,3;0,0;1;12,5;1,3;0,5;1,7;6,5;2,0;0,0;6,4;0,3;5,8;1,2;0,6;1,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;107,8;261;188;704;0,36;2,14;6;0,09;0,36;0;1,7;6,0;0,20;0,86;307;44;5;2;0,63;507;177;21;459;8,0;2,02;
Getost chèvre vitmögelost fett 25% ;111;1445;345;20,6;29,0;1,4;0,0;1,7;2,8;46,3;0,0;0,0;0,4;0,1;0;20,0;3,8;1,1;2,7;7,7;3,5;0,1;5,9;0,3;5,4;1,3;;0,9;0,0;;0,2;0,0;0,0;0,0;0,0;1,4;97,6;302;302;2;0,15;0,65;4;0,05;0,42;0;0,7;5,5;0,18;0,19;263;48;43;0;0,68;169;134;17;686;11,3;0,93;
Bröstmjölk humanmjölk fett 4,6%;113;315;75;1,3;4,6;7,2;0,0;0,0;0,2;86,7;0,0;0,0;7,2;0,0;0;1,8;0,1;0,2;0,3;1,0;0,3;0,0;1,9;0,1;1,7;0,7;0,5;0,5;0,0;0,1;0,1;0,1;0,0;0,0;0,0;0,1;14,0;60;58;24;0,10;0,34;;0,02;0,03;4;0,2;0,5;0,01;0,00;15;5;7;0;0,07;34;58;3;15;1,0;0,30;
Filmjölk fett 3% ;114;251;60;3,4;3,0;4,8;0,0;0,1;0,7;88,0;0,0;0,1;3,8;0,0;0;2,0;0,3;0,1;0,3;0,9;0,4;0,0;0,7;0,0;0,7;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;10,2;26;25;14;0,02;0,07;;0,04;0,14;0;0,1;0,9;0,04;0,27;91;11;;0;0,04;116;162;12;41;1,8;0,44;
Kondenserad mjölk konserv fett ca 8% ;115;567;136;6,8;7,6;10,0;0,0;0,3;1,6;74,0;0,0;0,0;10,0;0,0;0;4,9;0,7;0,2;0,8;2,2;0,9;0,0;2,0;0,1;1,7;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;;29,0;63;61;28;0,05;0,20;;0,05;0,32;0;0,2;1,8;0,05;0,20;200;8;;0;0,20;260;305;24;106;3,0;0,80;
Kondenserad mjölk konserv konc sockrad fett ca 9% ;116;1384;331;7,9;8,7;54,6;0,0;0,3;1,8;27,0;0,0;0,0;55,0;45,0;0;5,6;0,7;0,3;0,9;2,5;1,0;0,0;2,2;0,1;2,0;0,2;;0,2;0,0;;0,1;;0,0;0,0;0,0;;34,0;70;67;31;0,06;0,20;;0,09;0,42;3;0,2;2,0;0,05;0,40;255;11;;0;0,20;285;370;26;127;3,0;0,90;
Mjölkpulver fett 1% ;118;1527;365;36,2;0,8;52,0;0,0;1,3;7,9;3,2;0,0;0,0;51,0;0,0;0;0,5;0,1;0,0;0,1;0,2;0,1;0,0;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;20,0;7;6;1;0,01;0,00;;0,42;1,55;0;1,0;9,4;0,36;4,70;968;50;;0;0,32;1257;1794;110;535;10,0;4,08;
Långfil fett 3% ;119;251;60;3,4;3,0;4,8;0,0;0,1;0,7;88,0;0,0;0,0;3,8;0,0;0;2,0;0,3;0,1;0,3;0,9;0,4;0,0;0,7;0,0;0,7;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;10,2;26;25;14;0,02;0,07;;0,04;0,14;0;0,1;0,9;0,04;0,27;91;11;;0;0,04;116;162;12;41;1,8;0,44;
Lättfil fett 0,5% berik;120;164;39;3,5;0,5;5,0;0,0;0,1;0,8;90,2;0,0;0,1;3,9;0,0;0;0,3;0,1;0,0;0,1;0,1;0,1;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;3,3;25;25;2;0,38;0,01;;0,04;0,15;0;0,1;0,8;0,04;0,27;94;12;;0;0,04;119;166;12;42;1,8;0,45;
Lättmjölk fett 0,5% berik A- och D-vitamin  ;121;163;39;3,5;0,5;5,0;0,0;0,1;0,8;90,2;0,0;0,0;5,0;0,0;0;0,3;0,1;0,0;0,1;0,1;0,1;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;3,0;36;36;2;0,45;0,01;0;0,04;0,15;0;0,1;0,9;0,04;0,43;94;6;15;0;0,04;119;166;12;42;1,8;0,45;
Milkshake choklad jordgubb;122;353;84;2,0;3,6;10,9;0,0;0,1;0,5;83,0;0,0;1,6;9,0;6,4;0;1,0;0,0;0,0;0,0;0,6;0,3;0,0;1,7;0,0;1,6;0,8;;0,8;0,0;;0,0;;0,0;0,0;0,0;;10,0;29;28;13;0,02;0,10;;0,03;0,09;0;0,1;0,6;0,04;0,30;50;5;;0;0,10;73;188;13;45;0,6;0,30;
Mjölk fett 3%;123;251;60;3,4;3,0;4,8;0,0;0,1;0,7;88,0;0,0;0,0;4,9;0,0;0;2,0;0,3;0,1;0,3;0,9;0,4;0,0;0,7;0,0;0,7;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;10,2;26;25;14;0,02;0,07;0;0,04;0,14;0;0,1;0,9;0,04;0,42;91;5;14;;0,04;116;162;12;41;1,8;0,44;
Yoghurt naturell fett 3 % ;124;251;60;3,4;3,0;4,8;0,0;0,1;0,7;88,0;0,0;0,9;2,7;0,0;0;2,0;0,3;0,1;0,3;0,9;0,4;0,0;0,7;0,0;0,7;0,1;0,0;0,1;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;10,2;26;25;14;0,02;0,07;;0,04;0,14;0;0,1;0,9;0,04;0,24;91;11;;0;0,04;116;162;12;41;1,8;0,45;
Fruktyoghurt fett 2,5%;125;408;97;3,3;2,5;15,0;0,5;0,1;0,7;78,0;0,0;2,0;12,5;9,0;0;1,6;0,3;0,1;0,3;0,7;0,3;0,0;0,6;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,1;8,0;22;21;12;0,02;0,06;;0,04;0,16;2;0,1;0,9;0,04;0,20;92;23;;0;0,10;104;152;12;36;1,1;0,30;
Fruktyoghurt lätt fett 0,5%;126;317;76;3,0;0,5;14,3;0,5;0,1;0,7;81,0;0,0;6,1;8,1;5,3;0;0,3;0,1;0,0;0,1;0,1;0,1;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;1,6;4;4;2;0,00;0,01;;0,04;0,17;2;0,1;0,8;0,04;0,20;92;23;;0;0,10;104;152;12;36;1,1;0,30;
Gammaldags mjölk fett 4,2 %;127;291;70;3,4;4,1;4,8;0,0;0,1;0,7;86,8;0,0;0,0;4,8;0,0;0;2,7;0,4;0,1;0,4;1,2;0,5;0,0;1,0;0,0;0,9;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;13,9;38;36;20;0,03;0,10;0;0,04;0,14;0;0,1;0,9;0,04;0,41;90;5;14;0;0,04;114;160;12;40;1,8;0,44;
